N;Documento Nacional de Identidad;12345678;juan.garcia@email.com;987654321;ACTIVO;2026-06-19 02:51:56.400;Juan Carlos;García;López;1985-03-15;Juan Carlos García López;NULL
N;Documento Nacional de Identidad;87654321;maria.rodriguez@email.com;912345678;ACTIVO;2026-06-19 02:51:56.400;María Fernanda;Rodríguez;Martínez;1990-07-22;María Fernanda Rodríguez Martínez;NULL
N;Documento Nacional de Identidad;45678912;carlos.mendoza@email.com;998877665;ACTIVO;2026-06-19 02:51:56.400;Carlos Alberto;Mendoza;Silva;1978-11-08;Carlos Alberto Mendoza Silva;NULL
N;Documento Nacional de Identidad;78912345;ana.torres@email.com;945612378;ACTIVO;2026-06-19 02:51:56.400;Ana Lucía;Torres;Vargas;1995-02-14;Ana Lucía Torres Vargas;NULL
N;Documento Nacional de Identidad;32165498;roberto.ramirez@email.com;967812345;ACTIVO;2026-06-19 02:51:56.400;Roberto José;Ramírez;Castillo;1982-09-30;Roberto José Ramírez Castillo;NULL
N;Documento Nacional de Identidad;65498732;luisa.herrera@email.com;923456789;ACTIVO;2026-06-19 02:51:56.400;Luisa María;Herrera;Rojas;1988-05-19;Luisa María Herrera Rojas;NULL
N;Documento Nacional de Identidad;98732165;pedro.sanchez@email.com;956789123;ACTIVO;2026-06-19 02:51:56.400;Pedro Pablo;Sánchez;Morales;1975-12-25;Pedro Pablo Sánchez Morales;NULL
N;Documento Nacional de Identidad;15975346;carmen.diaz@email.com;934567891;ACTIVO;2026-06-19 02:51:56.400;Carmen Rosa;Díaz;Flores;1993-04-07;Carmen Rosa Díaz Flores;NULL
N;Documento Nacional de Identidad;75315948;miguel.vega@email.com;978912345;ACTIVO;2026-06-19 02:51:56.400;Miguel Ángel;Vega;Gutiérrez;1980-08-11;Miguel Ángel Vega Gutiérrez;NULL
N;Documento Nacional de Identidad;48261597;sofia.castro@email.com;945678123;ACTIVO;2026-06-19 02:51:56.400;Sofía Isabel;Castro;Ramos;1998-01-28;Sofía Isabel Castro Ramos;NULL
N;Carnet de Extranjería;X12345678;diego.vargas@email.com;912345987;ACTIVO;2026-06-19 02:51:56.400;Diego Armando;Vargas;Salazar;1992-06-17;Diego Armando Vargas Salazar;NULL
N;Carnet de Extranjería;Y87654321;valentina.morales@email.com;987654123;ACTIVO;2026-06-19 02:51:56.400;Valentina;Morales;Paredes;1987-10-03;Valentina Morales Paredes;NULL
N;Carnet de Extranjería;Z98765432;andres.guerrero@email.com;956789456;ACTIVO;2026-06-19 02:51:56.400;Andrés Felipe;Guerrero;Mendoza;1994-03-21;Andrés Felipe Guerrero Mendoza;NULL
N;Pasaporte;AB1234567;isabella.rojas@email.com;923456789;ACTIVO;2026-06-19 02:51:56.400;Isabella;Rojas;Torres;1983-07-14;Isabella Rojas Torres;NULL
N;Pasaporte;CD9876543;santiago.mendoza@email.com;967891234;ACTIVO;2026-06-19 02:51:56.400;Santiago;Mendoza;Vargas;1991-11-29;Santiago Mendoza Vargas;NULL
